https://ja.wikipedia.org/wiki/JIS_X_0213%E6%BC%A2%E5%AD%97%E4%B8%80%E8%A6%A7%E3%81%AE2%E9%9D%A2
2面1区
文字 	面区点 	Shift_JIS-2004 	Unicode 	水準 	備考
𠂉 	2-01-01 	0xF040 	U+20089 	第4水準 	
丂 	2-01-02 	0xF041 	U+4E02 	第4水準 	
丏 	2-01-03 	0xF042 	U+4E0F 	第4水準 	
丒 	2-01-04 	0xF043 	U+4E12 	第4水準 	
丩 	2-01-05 	0xF044 	U+4E29 	第4水準 	
丫 	2-01-06 	0xF045 	U+4E2B 	第4水準 	
丮 	2-01-07 	0xF046 	U+4E2E 	第4水準 	
乀 	2-01-08 	0xF047 	U+4E40 	第4水準 	
乇 	2-01-09 	0xF048 	U+4E47 	第4水準 	
么 	2-01-10 	0xF049 	U+4E48 	第4水準 	
𠂢 	2-01-11 	0xF04A 	U+200A2 	第4水準 	
乑 	2-01-12 	0xF04B 	U+4E51 	第4水準 	
㐆 	2-01-13 	0xF04C 	U+3406 	第4水準 	
𠂤 	2-01-14 	0xF04D 	U+200A4 	第4水準 	
乚 	2-01-15 	0xF04E 	U+4E5A 	第4水準 	
乩 	2-01-16 	0xF04F 	U+4E69 	第4水準 	
亝 	2-01-17 	0xF050 	U+4E9D 	第4水準 	
㐬 	2-01-18 	0xF051 	U+342C 	第4水準 	
㐮 	2-01-19 	0xF052 	U+342E 	第4水準 	
亹 	2-01-20 	0xF053 	U+4EB9 	第4水準 	
亻 	2-01-21 	0xF054 	U+4EBB 	第4水準 	
𠆢 	2-01-22 	0xF055 	U+201A2 	第4水準 	
亼 	2-01-23 	0xF056 	U+4EBC 	第4水準 	
仃 	2-01-24 	0xF057 	U+4EC3 	第4水準 	
仈 	2-01-25 	0xF058 	U+4EC8 	第4水準 	
仐 	2-01-26 	0xF059 	U+4ED0 	第4水準 	
仫 	2-01-27 	0xF05A 	U+4EEB 	第4水準 	
仚 	2-01-28 	0xF05B 	U+4EDA 	第4水準 	
仱 	2-01-29 	0xF05C 	U+4EF1 	第4水準 	
仵 	2-01-30 	0xF05D 	U+4EF5 	第4水準 	
伀 	2-01-31 	0xF05E 	U+4F00 	第4水準 	
伖 	2-01-32 	0xF05F 	U+4F16 	第4水準 	
佤 	2-01-33 	0xF060 	U+4F64 	第4水準 	
伷 	2-01-34 	0xF061 	U+4F37 	第4水準 	
伾 	2-01-35 	0xF062 	U+4F3E 	第4水準 	
佔 	2-01-36 	0xF063 	U+4F54 	第4水準 	
佘 	2-01-37 	0xF064 	U+4F58 	第4水準 	
𠈓 	2-01-38 	0xF065 	U+20213 	第4水準 	
佷 	2-01-39 	0xF066 	U+4F77 	第4水準 	
佸 	2-01-40 	0xF067 	U+4F78 	第4水準 	
佺 	2-01-41 	0xF068 	U+4F7A 	第4水準 	
佽 	2-01-42 	0xF069 	U+4F7D 	第4水準 	
侂 	2-01-43 	0xF06A 	U+4F82 	第4水準 	
侅 	2-01-44 	0xF06B 	U+4F85 	第4水準 	
侒 	2-01-45 	0xF06C 	U+4F92 	第4水準 	
侚 	2-01-46 	0xF06D 	U+4F9A 	第4水準 	
俦 	2-01-47 	0xF06E 	U+4FE6 	第4水準 	
侲 	2-01-48 	0xF06F 	U+4FB2 	第4水準 	
侾 	2-01-49 	0xF070 	U+4FBE 	第4水準 	
俅 	2-01-50 	0xF071 	U+4FC5 	第4水準 	
俋 	2-01-51 	0xF072 	U+4FCB 	第4水準 	
俏 	2-01-52 	0xF073 	U+4FCF 	第4水準 	
俒 	2-01-53 	0xF074 	U+4FD2 	第4水準 	
㑪 	2-01-54 	0xF075 	U+346A 	第4水準 	
俲 	2-01-55 	0xF076 	U+4FF2 	第4水準 	
倀 	2-01-56 	0xF077 	U+5000 	第4水準 	
倐 	2-01-57 	0xF078 	U+5010 	第4水準 	
倓 	2-01-58 	0xF079 	U+5013 	第4水準 	
倜 	2-01-59 	0xF07A 	U+501C 	第4水準 	
倞 	2-01-60 	0xF07B 	U+501E 	第4水準 	
倢 	2-01-61 	0xF07C 	U+5022 	第4水準 	
㑨 	2-01-62 	0xF07D 	U+3468 	第4水準 	
偂 	2-01-63 	0xF07E 	U+5042 	第4水準 	
偆 	2-01-64 	0xF080 	U+5046 	第4水準 	
偎 	2-01-65 	0xF081 	U+504E 	第4水準 	
偓 	2-01-66 	0xF082 	U+5053 	第4水準 	
偗 	2-01-67 	0xF083 	U+5057 	第4水準 	
偣 	2-01-68 	0xF084 	U+5063 	第4水準 	
偦 	2-01-69 	0xF085 	U+5066 	第4水準 	
偪 	2-01-70 	0xF086 	U+506A 	第4水準 	
偰 	2-01-71 	0xF087 	U+5070 	第4水準 	
傣 	2-01-72 	0xF088 	U+50A3 	第4水準 	
傈 	2-01-73 	0xF089 	U+5088 	第4水準 	
傒 	2-01-74 	0xF08A 	U+5092 	第4水準 	
傓 	2-01-75 	0xF08B 	U+5093 	第4水準 	
傕 	2-01-76 	0xF08C 	U+5095 	第4水準 	
傖 	2-01-77 	0xF08D 	U+5096 	第4水準 	
傜 	2-01-78 	0xF08E 	U+509C 	第4水準 	
傪 	2-01-79 	0xF08F 	U+50AA 	第4水準 	
𠌫 	2-01-80 	0xF090 	U+2032B 	第4水準 	
傱 	2-01-81 	0xF091 	U+50B1 	第4水準 	
傺 	2-01-82 	0xF092 	U+50BA 	第4水準 	
傻 	2-01-83 	0xF093 	U+50BB 	第4水準 	
僄 	2-01-84 	0xF094 	U+50C4 	第4水準 	
僇 	2-01-85 	0xF095 	U+50C7 	第4水準 	
僳 	2-01-86 	0xF096 	U+50F3 	第4水準 	
𠎁 	2-01-87 	0xF097 	U+20381 	第4水準 	
僎 	2-01-88 	0xF098 	U+50CE 	第4水準 	
