https://ja.wikipedia.org/wiki/JIS_X_0213%E6%BC%A2%E5%AD%97%E4%B8%80%E8%A6%A7%E3%81%AE1%E9%9D%A2
1面14区
文字 	面区点 	Shift_JIS-2004 	Unicode 	水準 	備考
俱 	1-14-01 	0x879F 	U+4FF1 	第3水準 	JIS2004
𠀋 	1-14-02 	0x87A0 	U+2000B 	第3水準 	
㐂 	1-14-03 	0x87A1 	U+3402 	第3水準 	
丨 	1-14-04 	0x87A2 	U+4E28 	第3水準 	
丯 	1-14-05 	0x87A3 	U+4E2F 	第3水準 	
丰 	1-14-06 	0x87A4 	U+4E30 	第3水準 	
亍 	1-14-07 	0x87A5 	U+4E8D 	第3水準 	
仡 	1-14-08 	0x87A6 	U+4EE1 	第3水準 	
份 	1-14-09 	0x87A7 	U+4EFD 	第3水準 	
仿 	1-14-10 	0x87A8 	U+4EFF 	第3水準 	
伃 	1-14-11 	0x87A9 	U+4F03 	第3水準 	
伋 	1-14-12 	0x87AA 	U+4F0B 	第3水準 	
你 	1-14-13 	0x87AB 	U+4F60 	第3水準 	
佈 	1-14-14 	0x87AC 	U+4F48 	第3水準 	
佉 	1-14-15 	0x87AD 	U+4F49 	第3水準 	
佖 	1-14-16 	0x87AE 	U+4F56 	第3水準 	
佟 	1-14-17 	0x87AF 	U+4F5F 	第3水準 	
佪 	1-14-18 	0x87B0 	U+4F6A 	第3水準 	
佬 	1-14-19 	0x87B1 	U+4F6C 	第3水準 	
佾 	1-14-20 	0x87B2 	U+4F7E 	第3水準 	
侊 	1-14-21 	0x87B3 	U+4F8A 	第3水準 	
侔 	1-14-22 	0x87B4 	U+4F94 	第3水準 	
侗 	1-14-23 	0x87B5 	U+4F97 	第3水準 	
侮 	1-14-24 	0x87B6 	U+FA30 	第3水準 	
俉 	1-14-25 	0x87B7 	U+4FC9 	第3水準 	
俠 	1-14-26 	0x87B8 	U+4FE0 	第3水準 	
倁 	1-14-27 	0x87B9 	U+5001 	第3水準 	
倂 	1-14-28 	0x87BA 	U+5002 	第3水準 	
倎 	1-14-29 	0x87BB 	U+500E 	第3水準 	
倘 	1-14-30 	0x87BC 	U+5018 	第3水準 	
倧 	1-14-31 	0x87BD 	U+5027 	第3水準 	
倮 	1-14-32 	0x87BE 	U+502E 	第3水準 	
偀 	1-14-33 	0x87BF 	U+5040 	第3水準 	
倻 	1-14-34 	0x87C0 	U+503B 	第3水準 	
偁 	1-14-35 	0x87C1 	U+5041 	第3水準 	
傔 	1-14-36 	0x87C2 	U+5094 	第3水準 	
僌 	1-14-37 	0x87C3 	U+50CC 	第3水準 	
僲 	1-14-38 	0x87C4 	U+50F2 	第3水準 	
僐 	1-14-39 	0x87C5 	U+50D0 	第3水準 	
僦 	1-14-40 	0x87C6 	U+50E6 	第3水準 	
僧 	1-14-41 	0x87C7 	U+FA31 	第3水準 	
儆 	1-14-42 	0x87C8 	U+5106 	第3水準 	
儃 	1-14-43 	0x87C9 	U+5103 	第3水準 	
儋 	1-14-44 	0x87CA 	U+510B 	第3水準 	
儞 	1-14-45 	0x87CB 	U+511E 	第3水準 	
儵 	1-14-46 	0x87CC 	U+5135 	第3水準 	
兊 	1-14-47 	0x87CD 	U+514A 	第3水準 	
免 	1-14-48 	0x87CE 	U+FA32 	第3水準 	
兕 	1-14-49 	0x87CF 	U+5155 	第3水準 	
兗 	1-14-50 	0x87D0 	U+5157 	第3水準 	
